,Unnamed: 0,Sector,Category,Crop,QueryType,QueryText,KCCAns,StateName,DistrictName,BlockName,CreatedOn
0,0,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,Sheath rot in Paddy,Recommended to spray Hexaconazole/Validamycin 2ml per litre of water to control Sheath rot in Paddy,ODISHA,KHORDHA,CHILIKA,2018-09-04T18:38:34Z
1,1,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,Sheath rot in Paddy,Recommended to spray Hexaconazole/Validamycin 2ml per litre of water to control Sheath rot in Paddy,ODISHA,KHORDHA,CHILIKA,2018-09-04T18:38:34Z
2,2,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,Paddy stem borer,Recommended to spray Triazophos 40 EC 2.5ml per litre of water to control Paddy stem borer,ODISHA,KHORDHA,JATNI,2018-09-13T14:22:23Z
3,3,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,Paddy stem borer,Recommended to spray Triazophos 40 EC 2.5ml per litre of water to control Paddy stem borer,ODISHA,KHORDHA,JATNI,2018-09-13T14:22:23Z
4,4,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,fooooooooooooooooo blast,Recommended to spray Tricyclazole 75 WP 1gm per litre of water twice at 10days interval to control Rice blast,ODISHA,KHORDHA,JATNI,2018-09-13T15:17:24Z
5,5,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,fooooooooooooooooo blast,Recommended to spray Tricyclazole 75 WP 1gm per litre of water twice at 10days interval to control Rice blast,ODISHA,KHORDHA,JATNI,2018-09-13T15:17:24Z
6,6,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,Sheath rot in Paddy,Recommended to spray Hexaconazole 5 EC 2ml per litre of water to control Sheath rot in Paddy,ODISHA,KHORDHA,TANGI,2018-09-17T10:50:38Z
7,7,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,Sheath rot in Paddy,Recommended to spray Hexaconazole 5 EC 2ml per litre of water to control Sheath rot in Paddy,ODISHA,KHORDHA,TANGI,2018-09-17T10:50:38Z
